position,jID,pID,tID,xID,role,visible,distance,distance_visible,distance_percent,high_speed,high_speed_visible,high_speed_percent,match_active,active_visible,inactive_visible,source,match
IVR,15,DFL-OBJ-0000JL,DFL-CLU-00000E,17,DEF,0.3751851851851852,9629.674796178955,4224.90415625622,0.43873798915126994,254.96194290123324,80.93792069383795,0.3174509880684097,0.611237037037037,0.305,0.07018518518518518,TV,DFL-MAT-000303
IVR,19,DFL-OBJ-0000F3,DFL-CLU-000008,1,DEF,0.3215777777777778,9820.087023052016,3766.870684888423,0.3835883201488886,244.00004990719725,162.34339053084094,0.6653416283832174,0.611237037037037,0.2521407407407407,0.06943703703703703,TV,DFL-MAT-000303
RV,16,DFL-OBJ-0002DO,DFL-CLU-000008,2,DEF,0.38294814814814815,10928.120208331387,4966.591469772554,0.4544781147251767,566.6834980697347,388.8100348525435,0.6861149763085168,0.611237037037037,0.3128444444444444,0.07010370370370371,TV,DFL-MAT-000303
IVL,28,DFL-OBJ-00018X,DFL-CLU-000008,3,DEF,0.30891111111111114,9870.051675984749,3797.852340024727,0.38478545652050095,320.23516825537354,164.06910798520946,0.5123394437876715,0.611237037037037,0.24222962962962963,0.06668148148148148,TV,DFL-MAT-000303
TW,1,DFL-OBJ-0000M0,DFL-CLU-000008,5,GK,0.12617037037037038,4629.595927635013,787.6925868254098,0.17014283733133387,68.68952077768782,7.792716856863678,0.11344840914066996,0.611237037037037,0.09222962962962963,0.033940740740740744,TV,DFL-MAT-000303
LV,14,DFL-OBJ-00012X,DFL-CLU-000008,8,DEF,0.3964740740740741,10981.253566491047,5012.693194684354,0.4564773196732686,254.53865037332776,173.3537377892286,0.6810507462618092,0.611237037037037,0.3183185185185185,0.07815555555555556,TV,DFL-MAT-000303
DML,33,DFL-OBJ-00002C,DFL-CLU-000008,10,MID,0.4956814814814815,11242.839156613758,6377.802238337929,0.5672768372378696,209.59977886256752,114.41908350742806,0.5458931499276605,0.611237037037037,0.39641481481481483,0.09926666666666667,TV,DFL-MAT-000303
DMR,6,DFL-OBJ-000040,DFL-CLU-000008,12,MID,0.5147703703703703,11054.374774223867,6606.030411456492,0.5975942146325779,351.7906041835745,185.92049344482382,0.528497609753685,0.611237037037037,0.4185259259259259,0.09624444444444444,TV,DFL-MAT-000303
ORM,7,DFL-OBJ-0000RF,DFL-CLU-000008,14,OFF,0.4923111111111111,11479.494182939134,6375.4014435346,0.5553730279344316,532.877862067731,280.74493515710435,0.5268466850315888,0.611237037037037,0.4000296296296296,0.09228148148148148,TV,DFL-MAT-000303
IVR,16,DFL-OBJ-0002E1,DFL-CLU-00000B,1,DEF,0.3350592592592593,9932.366312066177,4204.1623432102915,0.42327902647961463,302.8983625546107,172.76985308667972,0.5703888645338265,0.5933481481481482,0.27854814814814816,0.05651111111111111,TV,DFL-MAT-000322
DML,27,DFL-OBJ-0000NF,DFL-CLU-00000B,2,MID,0.4870148148148148,10894.629632393771,6259.612734467513,0.5745594798243866,271.9331246905286,91.39277828742946,0.33608549304700674,0.5933481481481482,0.41613333333333336,0.07088148148148148,TV,DFL-MAT-000322
TW,1,DFL-OBJ-0000LF,DFL-CLU-00000B,3,GK,0.08113333333333334,4445.039647015454,485.2083627189586,0.1091572632079319,9.53443603193834,0.9502270729209111,0.09966264074118825,0.5933481481481482,0.055355555555555554,0.025777777777777778,TV,DFL-MAT-000322
