match,number,start,end,team,possession,formation_rater1,formation_rater2,formation_rater3,majority,start_seconds,end_seconds,half,predictions_gt,predictions_sf,predictions_tv
Leverkusen - Gladbach,165,58:32,58:48,Gladbach,in,4231.0,4231.0,4231.0,4231,812,828,secondHalf,"[('451', 0.970399394271017), ('4231 (1)', 0.9638656002954232), ('442 (2)', 0.959552128051723), ('4141', 0.9588942877486154), ('4231 (2)', 0.9458275777324785)]","[('451', 0.970399394271017), ('4231 (1)', 0.9638656002954232), ('442 (2)', 0.959552128051723), ('4141', 0.9588942877486154), ('4231 (2)', 0.9458275777324785)]","[('424', 0.9734263501604018), ('433 (3)', 0.9641905530361189), ('4231 (2)', 0.9641905530361189), ('433 (1)', 0.9570429736716645), ('433 (2)', 0.9524891015928826)]"
Leverkusen - Gladbach,172,60:32,60:55,Leverkusen,in,4231.0,4231.0,442.0,4231,932,955,secondHalf,"[('433 (4)', 0.8243201216780105), ('433 (5)', 0.8178609954614743), ('4231 (2)', 0.8141726205937155), ('433 (2)', 0.8099721680513248), ('424', 0.7941149003559048)]","[('433 (4)', 0.8250642469950749), ('433 (5)', 0.8183046746617324), ('4231 (2)', 0.8113245533740716), ('433 (2)', 0.8090103381073622), ('424', 0.7917307583357401)]","[('334', 0.7962686277006075), ('4231 (2)', 0.7879838430204276), ('433 (4)', 0.7860377162573886), ('352', 0.7850498381114883), ('433 (2)', 0.7813783087585395)]"
Leverkusen - Gladbach,177,62:00,62:35,Leverkusen,in,442.0,442.0,442.0,442,1020,1055,secondHalf,"[('433 (5)', 0.8951619164871654), ('424', 0.8883568659043678), ('4231 (2)', 0.8867883782648023), ('334', 0.8816602339199616), ('343', 0.8776488259374547)]","[('433 (5)', 0.869867321421201), ('343', 0.8668712453445817), ('4231 (2)', 0.8631976029033617), ('424', 0.8576588513770176), ('334', 0.8494976592826056)]","[('4231 (2)', 0.8873857629303533), ('433 (4)', 0.8861044330563274), ('433 (5)', 0.882671532295219), ('433 (2)', 0.8749145227672731), ('433 (3)', 0.8674731928489283)]"
Leverkusen - Gladbach,186,66:31,67:10,Gladbach,in,442.0,442.0,442.0,442,1291,1330,secondHalf,"[('442 (2)', 0.9255558517921993), ('424', 0.922650025164647), ('4231 (2)', 0.8756160160934594), ('4231 (1)', 0.8729488678751045), ('433 (3)', 0.8689507923212164)]","[('442 (2)', 0.9255558517921993), ('424', 0.922650025164647), ('4231 (2)', 0.8756160160934594), ('4231 (1)', 0.8729488678751045), ('433 (3)', 0.8689507923212164)]","[('424', 0.9311074925784986), ('442 (2)', 0.900472024118524), ('334', 0.8934047068392565), ('4231 (2)', 0.885523925848499), ('433 (2)', 0.8704010670641499)]"
Leverkusen - Gladbach,188,68:01,68:19,Gladbach,in,442.0,442.0,442.0,442,1381,1399,secondHalf,"[('424', 0.8778079545356322), ('4231 (2)', 0.8678671699047613), ('334', 0.8652103188534312), ('442 (2)', 0.850416604513247), ('433 (2)', 0.8451046303143132)]","[('424', 0.8778079545356322), ('4231 (2)', 0.8678671699047613), ('334', 0.8652103188534312), ('442 (2)', 0.850416604513247), ('433 (2)', 0.8451046303143132)]","[('424', 0.860256256087784), ('343', 0.8569497608959736), ('4231 (2)', 0.8492430406928724), ('334', 0.8474961217405848), ('433 (3)', 0.8474445798877513)]"
Leverkusen - Gladbach,207,76:07,76:21,Leverkusen,in,4231.0,4231.0,442.0,4231,1867,1881,secondHalf,"[('352', 0.7807103215251967), ('343', 0.7754165711951679), ('334', 0.7676061118879248), ('424', 0.7407207958453315), ('4231 (2)', 0.7334808677900335)]","[('352', 0.7807103215251967), ('343', 0.7754165711951679), ('334', 0.7676061118879248), ('424', 0.7407207958453315), ('4231 (2)', 0.7334808677900335)]","[('343', 0.7944989405896756), ('352', 0.791904974074438), ('334', 0.7725727159498721), ('4231 (2)', 0.7271467299225003), ('442 (2)', 0.7269508913525125)]"
Leverkusen - Gladbach,209,76:46,77:12,Leverkusen,in,4231.0,442.0,442.0,442,1906,1932,secondHalf,"[('433 (5)', 0.8698497808268877), ('352', 0.8655226117926943), ('4321', 0.8500974739389452), ('442 (1)', 0.8491689851726356), ('4231 (2)', 0.8427568272374721)]","[('433 (5)', 0.8501166784876739), ('352', 0.8500346648365324), ('4231 (2)', 0.8324287069111675), ('442 (1)', 0.8250877315757247), ('433 (2)', 0.8232396600081593)]","[('433 (5)', 0.895994534335854), ('433 (2)', 0.8769720761530799), ('4231 (2)', 0.8752972266337348), ('433 (4)', 0.8689600341804034), ('442 (1)', 0.8678107028941741)]"
Leverkusen - Gladbach,211,78:49,79.00,Gladbach,in,4231.0,4231.0,4231.0,4231,2029,2040,secondHalf,"[('424', 0.9232374453153566), ('4231 (1)', 0.9200755128290068), ('442 (2)', 0.919574419912772), ('433 (1)', 0.912551775600918), ('451', 0.9058188932510552)]","[('424', 0.9249607975867711), ('442 (2)', 0.9240037977542845), ('4231 (1)', 0.9228192227998832), ('433 (1)', 0.9119742528230586), ('451', 0.909173826479675)]","[('433 (1)', 0.9309182412626361), ('4231 (1)', 0.9110973475530442), ('433 (3)', 0.9003071954734466), ('451', 0.8800804422453194), ('433 (2)', 0.877134290302956)]"
Leverkusen - Gladbach,217,80:42,80:55,Gladbach,in,442.0,442.0,4231.0,442,2142,2155,secondHalf,"[('4231 (2)', 0.8841524785855981), ('424', 0.8704558864226992), ('433 (2)', 0.864083142286495), ('433 (4)', 0.8507921287074011), ('451', 0.8457514727819624)]","[('4231 (2)', 0.8467315971351153), ('424', 0.8340471750510254), ('433 (2)', 0.8198831347388373), ('451', 0.8149103313669729), ('442 (2)', 0.8147678838380177)]","[('343', 0.6887076464360654), ('334', 0.6782857280237252), ('352', 0.6770324486096564), ('433 (4)', 0.6635243781957909), ('433 (2)', 0.6617308797114309)]"
Leverkusen - Gladbach,222,81:45,82:39,Leverkusen,in,4231.0,4231.0,,4231,2205,2259,secondHalf,"[('4231 (2)', 0.9572340326604072), ('424', 0.9502022415288702), ('442 (2)', 0.9297580012272818), ('433 (2)', 0.9264703250346497), ('451', 0.9191323219980914)]","[('4231 (2)', 0.9572340326604072), ('424', 0.9502022415288702), ('442 (2)', 0.9297580012272818), ('433 (2)', 0.9264703250346497), ('451', 0.9191323219980914)]","[('4231 (2)', 0.9472640436379509), ('451', 0.9353070475533518), ('4231 (1)', 0.9234600370911934), ('424', 0.9231663229012931), ('442 (2)', 0.9186124931795725)]"
